,curDur,Gap,WMSize,mu_r,Exp,NSub
285,0.43000000000000005,0.5,5.0,0.7065753711289702,Encoding,1
286,0.44,0.5,5.0,0.7123479795230883,Encoding,1
287,0.45,0.5,5.0,0.7180364359120829,Encoding,1
288,0.46,0.5,5.0,0.7236437970356281,Encoding,1
289,0.47000000000000003,0.5,5.0,0.7291729449913723,Encoding,1
290,0.48000000000000004,0.5,5.0,0.7346266006937644,Encoding,1
291,0.49,0.5,5.0,0.7400073360384938,Encoding,1
292,0.5,0.5,5.0,0.7453175849207649,Encoding,1
293,0.51,0.5,5.0,0.7505596532360405,Encoding,1
294,0.52,0.5,5.0,0.7557357279752285,Encoding,1
295,0.53,0.5,5.0,0.7608478855120558,Encoding,1
296,0.54,0.5,5.0,0.7658980991681898,Encoding,1
297,0.55,0.5,5.0,0.7708882461311916,Encoding,1
298,0.56,0.5,5.0,0.7758201137913693,Encoding,1
299,0.5700000000000001,0.5,5.0,0.7806954055557968,Encoding,1
300,0.5800000000000001,0.5,5.0,0.7855157461910052,Encoding,1
301,0.5900000000000001,0.5,5.0,0.7902826867399892,Encoding,1
302,0.6000000000000001,0.5,5.0,0.7949977090540482,Encoding,1
303,0.61,0.5,5.0,0.7996622299755227,Encoding,1
304,0.62,0.5,5.0,0.8042776052035756,Encoding,1
305,0.63,0.5,5.0,0.8088451328717344,Encoding,1
306,0.64,0.5,5.0,0.8133660568629061,Encoding,1
307,0.65,0.5,5.0,0.8178415698849055,Encoding,1
308,0.66,0.5,5.0,0.822272816327208,Encoding,1
309,0.67,0.5,5.0,0.8266608949175469,Encoding,1
310,0.68,0.5,5.0,0.8310068611951507,Encoding,1
311,0.69,0.5,5.0,0.8353117298157711,Encoding,1
312,0.7,0.5,5.0,0.8395764767022066,Encoding,1
313,0.71,0.5,5.0,0.843802041052726,Encoding,1
314,0.72,0.5,5.0,0.8479893272186452,Encoding,1
315,0.73,0.5,5.0,0.8521392064612705,Encoding,1
316,0.74,0.5,5.0,0.8562525185975025,Encoding,1
317,0.75,0.5,5.0,0.860330073542557,Encoding,1
318,0.76,0.5,5.0,0.8643726527575162,Encoding,1
319,0.77,0.5,5.0,0.8683810106087534,Encoding,1
320,0.78,0.5,5.0,0.8723558756456649,Encoding,1
321,0.79,0.5,5.0,0.8762979518025994,Encoding,1
322,0.8,0.5,5.0,0.8802079195303819,Encoding,1
323,0.81,0.5,5.0,0.8840864368623799,Encoding,1
324,0.8200000000000001,0.5,5.0,0.8879341404196593,Encoding,1
325,0.8300000000000001,0.5,5.0,0.891751646359406,Encoding,1
326,0.8400000000000001,0.5,5.0,0.8955395512704585,Encoding,1
327,0.8500000000000001,0.5,5.0,0.8992984330194944,Encoding,1
328,0.8600000000000001,0.5,5.0,0.903028851551135,Encoding,1
329,0.8700000000000001,0.5,5.0,0.9067313496449825,Encoding,1
330,0.88,0.5,5.0,0.9104064536323763,Encoding,1
331,0.89,0.5,5.0,0.9140546740754416,Encoding,1
332,0.9,0.5,5.0,0.917676506410815,Encoding,1
333,0.91,0.5,5.0,0.9212724315602557,Encoding,1
334,0.92,0.5,5.0,0.9248429165101888,Encoding,1
335,0.93,0.5,5.0,0.9283884148620816,Encoding,1
