"","WMSize","DurLevel","TPresent","NT","NSub","curDur","repDur","repWaitTime","WMRP","WMRTTest","Crr","repBias","Exp","gap","Gap","valid","log_RP","log_dur"
"15776",1,3,1,296,8,1.1,1.221837,0.2361727,1,0.3180409,1,0.227646105,"Exp6c",5,1.1,1,0.200355463963741,0.0953101798043249
"15777",3,5,1,297,8,1.7,1.6858996,0.386995,1,0.5001903,1,0.327917406,"Exp6c",5,0.5,1,0.522299308577594,0.53062825106217
"15778",1,4,2,298,8,1.4,1.7899752,0.2889849,2,0.8898747,1,0.230861607,"Exp6c",5,0.8,1,0.582201765008082,0.336472236621213
"15779",3,5,2,299,8,1.7,1.7338791,0.2945096,2,0.4498075,1,0.327917406,"Exp6c",5,0.5,1,0.550361152744185,0.53062825106217
"15780",3,1,1,300,8,0.5,0.3899435,0.4725751,1,0.5778356,1,0.091802501,"Exp6c",5,1.7,1,-0.941753422148249,-0.693147180559945
"15781",5,2,1,301,8,0.8,0.5498441,0.463068,2,0.7546714,1,0.19511019,"Exp6c",5,1.4,1,-0.598120495481908,-0.22314355131421
"15782",3,4,2,302,8,1.4,1.254028,0.7350535,2,0.603851,1,0.314876759,"Exp6c",5,0.8,1,0.226360770510095,0.336472236621213
"15783",3,3,2,303,8,1.1,1.2299923,0.2404467,2,0.6417218,1,0.195997433,"Exp6c",5,1.1,1,0.20700790920213,0.0953101798043249
"15784",5,3,1,304,8,1.1,1.1659852,0.2464031,2,0.681818,1,0.131968594,"Exp6c",5,1.1,1,0.153566394880334,0.0953101798043249
"15785",1,3,2,305,8,1.1,1.1658866,0.302603,2,0.5840683,1,0.227646105,"Exp6c",5,1.1,1,0.153481827624057,0.0953101798043249
"15786",5,1,1,306,8,0.5,0.6459944,0.1491633,2,0.4732585,1,0.094386564,"Exp6c",5,1.7,1,-0.436964443967759,-0.693147180559945
"15787",5,3,2,307,8,1.1,1.1498857,0.1659648,2,0.7811926,1,0.131968594,"Exp6c",5,1.1,1,0.139662546131168,0.0953101798043249
"15788",5,5,1,308,8,1.7,1.6778397,0.3221442,1,0.4782934,1,0.199176631,"Exp6c",5,0.5,1,0.51750707308837,0.53062825106217
"15789",1,2,2,309,8,0.8,1.2859873,0.2831158,2,0.7684579,1,0.226565257,"Exp6c",5,1.4,1,0.25152675018346,-0.22314355131421
"15790",3,4,1,310,8,1.4,1.1979239,0.0936312,1,1.2704622,1,0.314876759,"Exp6c",5,0.8,1,0.180589975138053,0.336472236621213
"15791",5,5,2,311,8,1.7,1.7659532,0.2748945,2,0.6535954,1,0.199176631,"Exp6c",5,0.5,1,0.568690601264371,0.53062825106217
