WMSize,DurLevel,TPresent,NT,NSub,curDur,phyDur,repVDur,repDur,presentColorDeg,respColorDeg,WMRP
5,1,1,145,15,0.5,0.500037322,0.640010836,0.629957652,1.117010721,1.117010721,2
5,5,1,146,15,1.7,1.700157749,1.220183289,1.206004757,2.181661565,2.181661565,1
5,5,2,147,15,1.7,1.700181075,1.300184061,1.285897294,2.059488517,2.530727415,1
1,1,1,148,15,0.5,0.500071223,0.660003098,0.64584727,1.972222055,1.972222055,1
3,2,1,149,15,0.8,0.800135853,0.78989495,0.774031632,5.061454831,5.061454831,2
3,4,2,150,15,1.4,1.400165275,0.971151801,0.966023282,0.383972435,3.612831552,2
5,3,2,151,15,1.1,1.100135791,1.1701311,1.157945885,3.141592654,0.27925268,2
3,4,2,152,15,1.4,1.400165897,1.150201664,1.142028897,3.735004599,2.443460953,2
3,1,1,153,15,0.5,0.500088329,0.578900388,0.565896884,3.996803987,3.996803987,1
5,1,1,154,15,0.5,0.500057849,0.628355422,0.613910658,6.126105675,6.126105675,1
1,4,2,155,15,1.4,1.400186113,0.930071248,0.917993956,3.630284844,3.351032164,1
1,1,2,156,15,0.5,0.500081798,0.621629027,0.614006452,1.082104136,2.303834613,2
1,2,2,157,15,0.8,0.80008298,0.850061457,0.837971103,2.827433388,1.186823891,2
3,5,1,158,15,1.7,1.70022244,0.991381058,0.982084582,3.124139361,3.124139361,1
3,4,1,159,15,1.4,1.400169629,1.550182506,1.541960909,3.141592654,3.141592654,1
5,2,1,160,15,0.8,0.800095731,1.020398141,1.014008753,1.832595715,1.832595715,1
1,5,1,161,15,1.7,1.700251054,1.740203854,1.733984282,0.27925268,0.27925268,1
5,1,2,162,15,0.5,0.500075888,0.690054938,0.677974225,1.780235837,4.64257581,1
3,2,2,163,15,0.8,0.800101952,0.640146751,0.630002749,4.101523742,4.939281783,2
5,4,1,164,15,1.4,1.400157811,0.860435164,0.853926035,1.954768762,1.954768762,1
1,2,1,165,15,0.8,0.8000892,0.640066819,0.629978179,5.969026042,5.969026042,1
1,3,2,166,15,1.1,1.100164093,0.740049589,0.726157816,4.607669225,5.201081171,2
3,1,2,167,15,0.5,0.500052251,0.610056033,0.597995536,0.27925268,4.625122518,2
1,1,1,168,15,0.5,0.500087396,0.449897737,0.437961026,5.934119457,5.934119457,1
5,5,1,169,15,1.7,1.700198803,1.280191799,1.270182157,1.151917306,1.151917306,1
5,5,2,170,15,1.7,1.70022835,1.260293153,1.253928647,2.181661565,2.460914245,2
1,4,1,171,15,1.4,1.400175539,1.110145295,1.094032851,5.393067389,5.393067389,1
3,2,1,172,15,0.8,0.80008298,0.560030592,0.549974919,5.811946409,5.811946409,1
3,3,1,173,15,1.1,1.100129881,0.830072306,0.822004974,1.012290966,1.012290966,1
3,3,2,174,15,1.1,1.100252734,0.930078402,0.917906871,5.288347634,2.164208272,2
1,3,1,175,15,1.1,1.100111842,0.739991428,0.725989866,1.745329252,1.745329252,1
5,4,2,176,15,1.4,1.400155634,1.04012386,1.029947513,2.513274123,2.565634,1
3,5,2,177,15,1.7,1.700172366,1.531753422,1.525873172,2.234021443,6.265732015,2
1,5,2,178,15,1.7,1.700228972,1.680213695,1.669965191,6.021385919,2.583087293,2
5,2,2,179,15,0.8,0.800107861,0.891299074,0.885896548,4.991641661,3.455751919,2
5,3,1,180,15,1.1,1.10010189,0.940151043,0.933994608,4.485496178,4.485496178,1
5,3,2,181,15,1.1,1.100094736,0.99010495,0.981977281,1.832595715,3.839724354,1
5,4,1,182,15,1.4,1.400149724,1.059979585,1.0459774,2.21656815,2.21656815,1
3,3,2,183,15,1.1,1.100169381,1.110103619,1.093835043,5.323254219,5.375614096,1
1,4,2,184,15,1.4,1.400153767,1.360224916,1.350040171,3.926990817,0.087266463,2
3,2,2,185,15,0.8,0.80007707,0.700050447,0.693959948,5.550147021,3.94444411,2
5,1,1,186,15,0.5,0.500027681,0.430067516,0.421892572,0.087266463,0.087266463,1
1,5,1,187,15,1.7,1.700231771,1.430163621,1.41381418,4.677482395,4.677482395,1
3,1,2,188,15,0.5,0.500055672,0.720014095,0.709901507,2.932153143,0.087266463,2
3,3,1,189,15,1.1,1.100122417,1.040179221,1.029927296,0.890117919,0.890117919,1
1,5,2,190,15,1.7,1.700216531,1.65016683,1.6381054,1.012290966,1.93731547,2
1,3,1,191,15,1.1,1.100139212,0.920031886,0.901994859,2.949606436,2.949606436,1
5,5,2,192,15,1.7,1.700190716,1.18913619,1.173944671,5.846852994,1.692969374,2
3,1,1,193,15,0.5,0.500054739,0.610086202,0.598044988,1.256637061,1.256637061,1
5,5,1,194,15,1.7,1.700170189,1.160644107,1.158002802,2.338741198,2.338741198,1
1,2,2,195,15,0.8,0.800115326,0.860117304,0.854031159,2.809980096,2.879793266,1
3,5,2,196,15,1.7,1.700203157,1.290126037,1.286092925,2.338741198,1.239183769,2
1,1,2,197,15,0.5,0.5000734,0.399988928,0.389860788,6.143558967,6.16101226,1
1,1,1,198,15,0.5,0.500065625,0.610065986,0.597955415,1.518436449,1.518436449,1
1,4,1,199,15,1.4,1.400162476,1.279992436,1.269915614,5.148721293,5.148721293,1
3,5,1,200,15,1.7,1.700309837,1.600170936,1.590016671,0.383972435,0.383972435,1
1,3,2,201,15,1.1,1.100094736,1.170031886,1.157915405,3.804817769,1.221730476,2
5,1,2,202,15,0.5,0.50006718,0.308897552,0.293981595,6.003932627,2.949606436,2
5,2,2,203,15,0.8,0.800123412,0.780139548,0.773859639,5.480333851,4.956735076,2
3,4,1,204,15,1.4,1.400183625,1.200160859,1.189987621,5.096361416,5.096361416,1
3,2,1,205,15,0.8,0.800100086,0.7412044,0.725974626,3.735004599,3.735004599,2
1,2,1,206,15,0.8,0.800119058,0.800121857,0.790029796,0.401425728,0.401425728,1
5,2,1,207,15,0.8,0.800114393,0.850134547,0.837865045,3.089232776,3.089232776,1
5,4,2,208,15,1.4,1.400183936,0.99014165,0.981995942,5.777039824,4.22369679,2
3,4,2,209,15,1.4,1.400186735,1.109900835,1.093989308,5.445427266,6.126105675,2
5,3,1,210,15,1.1,1.100043107,0.910126883,0.902022851,0.436332313,0.436332313,1
3,4,2,211,15,1.4,1.400146925,0.960174096,0.94992497,0.296705973,0.488692191,1
3,3,1,212,15,1.1,1.100114641,0.559990781,0.55000571,4.64257581,4.64257581,1
5,3,1,213,15,1.1,1.100128015,1.070136823,1.062009154,2.792526803,2.792526803,2
1,2,2,214,15,0.8,0.800104129,0.640150172,0.630071484,3.368485456,1.675516082,2
3,5,2,215,15,1.7,1.700209067,0.800119058,0.789952663,3.735004599,3.961897402,2
