"","Nsub","Exp","model","sig_s","ks","ls","kr","mu_pr","sig_pr2","sig_mn","ls_1","ls_3","ls_5","ks_1","ks_3","ks_5","kr_1","kr_3","kr_5","m_WMCrr_1","se_WMCrr_1","wp_1","sig_post2_1","m_WMCrr_3","se_WMCrr_3","wp_3","sig_post2_3","m_WMCrr_5","se_WMCrr_5","wp_5","sig_post2_5","InP_1","InP_3","InP_5"
"31",8,"Exp3","Exp3",0.379399105856497,0,0,0.00991740553013514,1.09775041161132,0.0637602021197332,0.146128666515851,1,1,1,1,1,1,1.00991740553014,1.01983481106027,1.02975221659041,0.933333333333333,0.0229623546576125,0.696446513788287,0.0442541209011572,0.691666666666667,0.0425110981465022,0.696446513788287,0.0442541209011572,0.583333333333333,0.0453833382241447,0.696446513788287,0.0442541209011572,1.11345025298935,1.12928700641922,1.1452624706772
"32",8,"Exp4","Exp4",0.0727021986822953,0.0801378472201935,0.0936628355745666,0.0677468966757583,1.07049090230862,0.047388538197337,0.175880045808197,0.812674328850867,0.812674328850867,0.7190114932763,1.08013784722019,1.16027569444039,1.24041354166058,1.06774689667576,1.13549379335152,1.20324069002727,0.933333333333333,0.0229623546576125,0.356843024618107,0.01660746723923,0.641666666666667,0.0441409835571806,0.391785122886312,0.0182328525097135,0.583333333333333,0.0453833382241447,0.424445650157213,0.0197589650192988,1.10744444017368,1.13369986435234,1.15348748015728
"33",9,"Exp1","Exp1",0.224564314151697,0,0,0,1.28739677012088,0.156903609648938,0.0274348131208337,1,1,1,1,1,1,1,1,1,0.925,0.0242462824306782,0.245543733547833,0.0380887122261022,0.808333333333333,0.0362336596607828,0.245543733547833,0.0380887122261022,0.683333333333333,0.0428214274204997,0.245543733547833,0.0380887122261022,1.28739677012088,1.28739677012088,1.28739677012088
"34",9,"Exp2","Exp2",0.609089993871843,0.197567004772649,0.304586099920588,0,1.11968009243209,0.0792429248197647,0.0974740019612878,0.390827800158824,0.390827800158824,0.0862417002382361,1.19756700477265,1.3951340095453,1.59270101431795,1,1,1,0.883333333333333,0.0295514888401186,0.804175936358667,0.0633809218931143,0.816666666666667,0.0356194159305587,0.853330966671807,0.0673212681725853,0.65,0.0439070604289517,0.883569501621797,0.0697609032002023,1.0682855781068,1.0484731023652,1.03856608703895
"35",9,"Exp3","Exp3",0.362242274256426,0,0,0.0167284884412639,0.93227217298395,0.0958358053351284,0.0427587493175356,1,1,1,1,1,1,1.01672848844126,1.03345697688253,1.05018546532379,0.858333333333333,0.0321000337206357,0.578212103141532,0.0552486340744622,0.75,0.0398606427752317,0.578212103141532,0.0552486340744622,0.633333333333333,0.0443604098483567,0.578212103141532,0.0552486340744622,0.959577319059565,0.987565541000349,1.01626279560528
"36",9,"Exp4","Exp4",0.315104076495941,0.0552828596145513,0.0604108112010831,0.0752299227305338,1.09409474635728,0.2253081198554,0.143689180198441,0.879178377597834,0.879178377597834,0.818767566396751,1.05528285961455,1.1105657192291,1.16584857884365,1.07522992273053,1.15045984546107,1.2256897681916,0.825,0.0349775720811217,0.336150727092634,0.0741263145976189,0.625,0.0445655534361269,0.359418718459562,0.0792830345221121,0.541666666666667,0.0458670109070387,0.38179846962146,0.0842590387890885,1.2142632869856,1.31314563460848,1.39151503629205
"37",10,"Exp1","Exp1",0.331990359359985,0,0,0,0.948452900519453,0.105787897480357,0.0275183088293818,1,1,1,1,1,1,1,1,1,0.95,0.020062750229098,0.510860012472536,0.0538585188474287,0.825,0.0349775720811217,0.510860012472536,0.0538585188474287,0.766666666666667,0.0389345666193704,0.510860012472536,0.0538585188474287,0.948452900519453,0.948452900519453,0.948452900519453
"38",10,"Exp2","Exp2",0.356999301732801,0.0529119819959367,0.26602951325029,0,0.964182340481556,0.0835701284335346,0.0456504215230174,0.46794097349942,0.46794097349942,0.20191146024913,1.05291198199594,1.10582396399187,1.15873594598781,1,1,1,0.925,0.0242462824306782,0.693333096147991,0.0577505647573774,0.783333333333333,0.0379239020640365,0.760514397788635,0.0633833866782784,0.708333333333333,0.0418413704377862,0.805636226652945,0.0671750747945972,0.942133217343341,0.933088190650424,0.928620053871035
"39",10,"Exp3","Exp3",0.380421336788052,0,0,0.0583065834737457,0.810925339677308,0.0872736472148763,0.0291540827985876,1,1,1,1,1,1,1.05830658347375,1.11661316694749,1.17491975042124,0.883333333333333,0.0295514888401186,0.623702800600088,0.0543075314094277,0.725,0.0411035196685566,0.623702800600088,0.0543075314094277,0.708333333333333,0.0418413704377862,0.623702800600088,0.0543075314094277,0.889498381123472,0.974017872357549,1.06518540764311
"40",10,"Exp4","Exp4",0.109828089018423,0.0486882583546564,0.0368492980949092,0.0434656711988499,0.520750648934401,1.78281965161453,0.0202442453232256,0.926301403810182,0.926301403810182,0.889452105715272,1.04868825835466,1.09737651670931,1.14606477506397,1.04346567119885,1.0869313423977,1.13039701359655,0.783333333333333,0.0379239020640365,0.0417765388233561,0.0495973656185144,0.675,0.0431158774197153,0.0445803903414341,0.0528455576372337,0.6,0.0450971692941134,0.0474972143930512,0.0562366263308796,0.465095668436218,0.402783148590832,0.347052920891845
"41",11,"Exp1","Exp1",0.311948372988338,0,0,0,0.985594313834642,0.136482756717474,0.0221907684981366,1,1,1,1,1,1,1,1,1,0.891666666666667,0.0286105351086856,0.417434518946323,0.056659705514927,0.808333333333333,0.0362336596607828,0.417434518946323,0.056659705514927,0.675,0.0431158774197153,0.417434518946323,0.056659705514927,0.985594313834642,0.985594313834642,0.985594313834642
"42",11,"Exp2","Exp2",0.15631823188654,0.0179484741379746,0.0911478320115954,0,2.12883630838953,1.00409103764177,0.0223017269871991,0.817704335976809,0.817704335976809,0.726556503965214,1.01794847413797,1.03589694827595,1.05384542241392,1,1,1,0.916666666666667,0.0254424399503991,0.0356101859787045,0.0278729907449275,0.691666666666667,0.0425110981465022,0.0411669931200527,0.0322291453511791,0.7,0.0421845391529786,0.0471628533035619,0.036942682759281,1.43251996375316,1.1594420959981,1.01963284930135
"43",11,"Exp3","Exp3",0.304381614648012,0,0,0.00917450340618007,1.03312321140321,0.0751435450631395,0.0246174355365803,1,1,1,1,1,1,1.00917450340618,1.01834900681236,1.02752351021854,0.883333333333333,0.0295514888401186,0.552453099354827,0.0414248999649199,0.725,0.0411035196685566,0.552453099354827,0.0414248999649199,0.583333333333333,0.0453833382241447,0.552453099354827,0.0414248999649199,1.05040860014446,1.06795480772899,1.08576778226677
"44",11,"Exp4","Exp4",0.282539024157738,0.0906391688447226,0.145324156679641,0.0587659301181369,0.962135754453354,0.0888229653506418,0.0268004128659616,0.709351686640718,0.709351686640718,0.564027529961077,1.09063916884472,1.18127833768945,1.27191750653417,1.05876593011814,1.11753186023627,1.17629779035441,0.833333333333333,0.0343065790305767,0.535349100898634,0.0472750445617647,0.666666666666667,0.0433947713860775,0.589202827588338,0.0520033680584554,0.558333333333333,0.0457127924455402,0.633625371585876,0.0559186218288535,0.986815121950144,1.01502698055987,1.04501351978456
"45",12,"Exp1","Exp1",0.176090981470632,0,0,0,0.549871490476405,0.215221848101421,0.0182220087416663,1,1,1,1,1,1,1,1,1,0.941666666666667,0.0215749926945751,0.129622437882107,0.0270216044957044,0.891666666666667,0.0286105351086856,0.129622437882107,0.0270216044957044,0.875,0.0304440687945156,0.129622437882107,0.0270216044957044,0.549871490476405,0.549871490476405,0.549871490476405
"46",12,"Exp2","Exp2",0.278937766908468,0.155997439956614,0.61427298327545,0,1.28789566549823,0.127263959745292,0.17555630132826,-0.2285459665509,-0.2285459665509,-0.84281894982635,1.15599743995661,1.31199487991323,1.46799231986984,1,1,1,0.808333333333333,0.0362336596607828,0.594933883987415,0.0741307488424783,0.508333333333333,0.0460207125751414,0.728305213309692,0.0914284969282325,0.55,0.0457963919107184,0.808322507133874,0.101913059257583,1.1642391815636,1.15362531266267,1.15924810125962
"47",12,"Exp3","Exp3",0.426188397343283,0,0,0.0292706237298383,1.00654700470244,0.090908384757942,0.0245932813718326,1,1,1,1,1,1,1.02927062372984,1.05854124745968,1.08781187118951,0.866666666666667,0.031292414663908,0.665777971520734,0.0603914405219201,0.733333333333333,0.0407079039206385,0.665777971520734,0.0603914405219201,0.558333333333333,0.0457127924455402,0.665777971520734,0.0603914405219201,1.05145932088732,1.0977314756108,1.14542617723756
"48",12,"Exp4","Exp4",0.327836670125882,0.0896374931279284,0.0647171124807217,0.0581870806456637,1.08893563774387,0.169710209008268,0.0339954912091747,0.870565775038557,0.870565775038557,0.805848662557835,1.08963749312793,1.17927498625586,1.26891247938379,1.05818708064566,1.11637416129133,1.17456124193699,0.733333333333333,0.0407079039206385,0.417844409738413,0.0700727273693471,0.566666666666667,0.0456161411446998,0.444896690784654,0.0746338546226696,0.641666666666667,0.0441409835571806,0.470194805277559,0.0789089838839362,1.09629390505212,1.1006293478332,1.10336026449185
"49",13,"Exp1","Exp1",0.213712134142831,0,0,0,1.1543391645466,0.14107346651706,0.0179616467572081,1,1,1,1,1,1,1,1,1,0.925,0.0242462824306782,0.246538028144014,0.0344398327383225,0.766666666666667,0.0389345666193704,0.246538028144014,0.0344398327383225,0.658333333333333,0.0436584074407572,0.246538028144014,0.0344398327383225,1.1543391645466,1.1543391645466,1.1543391645466
"50",13,"Exp2","Exp2",0.301228587046015,0.0668021756865268,0.259785835578284,0,0.982653781729104,0.146591548450035,0.0425847878216149,0.480428328843432,0.480428328843432,0.220642493265148,1.06680217568653,1.13360435137305,1.20040652705958,1,1,1,0.9,0.0276162634036218,0.486226670731127,0.0705444278715799,0.716666666666667,0.0414811797723995,0.572264076776069,0.0830797468495096,0.7,0.0421845391529786,0.639966840245202,0.0929976536135862,0.91786466812577,0.893433782652679,0.88308990210768
"51",13,"Exp3","Exp3",0.351143269673453,0,0,0.0397573305659287,0.605644140775032,0.0890793489224915,0.0205270990317635,1,1,1,1,1,1,1.03975733056593,1.07951466113186,1.11927199169779,0.875,0.0304440687945156,0.580664735206597,0.0515798126909551,0.641666666666667,0.0441409835571806,0.580664735206597,0.0515798126909551,0.591666666666667,0.0452469833694679,0.580664735206597,0.0515798126909551,0.648337561976993,0.693631903820208,0.741772309006652
"52",13,"Exp4","Exp4",0.228850031520891,0.0916341024698169,0.0327739767694795,0.0243077462875918,0.779671173980664,0.0613368677688046,0.0169363488638891,0.934452046461041,0.934452046461041,0.901678069691562,1.09163410246982,1.18326820493963,1.27490230740945,1.02430774628759,1.04861549257518,1.07292323886278,0.833333333333333,0.0343065790305767,0.47669419594038,0.0291274316850091,0.758333333333333,0.0394077927677865,0.491614418367411,0.0300331602085337,0.658333333333333,0.0436584074407572,0.505753155037634,0.0308922324285734,0.741970228440038,0.711888367445757,0.68738275095325
"53",14,"Exp1","Exp1",0.215939160749469,0,0,0,1.09385581662295,1.84297645950322,0.0195115916729657,1,1,1,1,1,1,1,1,1,0.908333333333333,0.0265626871416717,0.0351593278772367,0.0450376162352948,0.8,0.0368216845381624,0.0351593278772367,0.0450376162352948,0.675,0.0431158774197153,0.0351593278772367,0.0450376162352948,1.09385581662295,1.09385581662295,1.09385581662295
"54",14,"Exp2","Exp2",0.280851414530001,0.073717627806004,0.0501573682500474,0,2.08769913008271,1.56108272343727,0.0258115445521017,0.899685263499905,0.899685263499905,0.849527895249858,1.073717627806,1.14743525561201,1.22115288341801,1,1,1,0.883333333333333,0.0295514888401186,0.0635649608816205,0.0811820670718822,0.708333333333333,0.0418413704377862,0.0690204089538984,0.0881590553844227,0.625,0.0445655534361269,0.0747186900974344,0.0954715917993501,1.00081286300194,0.698536509252604,0.55840931086807
"55",14,"Exp3","Exp3",0.306790981067475,0,0,0.0149200881289465,1.1122503620586,0.16749290124136,0.0234955854436865,1,1,1,1,1,1,1.01492008812895,1.02984017625789,1.04476026438684,0.758333333333333,0.0394077927677865,0.361656885921704,0.0600448435022009,0.55,0.0457963919107184,0.361656885921704,0.0600448435022009,0.508333333333333,0.0460207125751414,0.361656885921704,0.0600448435022009,1.15937711583077,1.20912401147898,1.26171580807655
