"","curDur","WMSize","NSub","Exp","model","wp","mu_r","sig_r","predY","sig_wm2","log_lik"
"22555",1.75,1,6,"Exp4","Exp4",0.2371546173168,1.55618222226826,0.151865864687673,1.55747111467815,0.0229210181724932,0.461523147495284
"22556",1.76,1,6,"Exp4","Exp4",0.2371546173168,1.56405470506965,0.151861959682731,1.56506567000583,0.0229210181724932,0.470295330064555
"22557",1.77,1,6,"Exp4","Exp4",0.2371546173168,1.57192718787105,0.15185809850251,1.57101193682215,0.0229210181724932,0.475611918457008
"22558",1.78,1,6,"Exp4","Exp4",0.2371546173168,1.57979967067244,0.151854280413298,1.58016714361919,0.0229210181724932,0.47353707519016
"22559",1.79,1,6,"Exp4","Exp4",0.2371546173168,1.58767215347384,0.151850504697674,1.58644463205178,0.0229210181724932,0.472354680897673
"22560",1.8,1,6,"Exp4","Exp4",0.2371546173168,1.59554463627523,0.151846770654055,1.59598011424657,0.0229210181724932,0.467571027339324
"22561",0.4,3,6,"Exp4","Exp4",0.289138633544875,0.530703111040939,0.169175520017723,0.529879711269138,0.0277561555233408,0.358595481543533
"22562",0.41,3,6,"Exp4","Exp4",0.289138633544875,0.538150308349881,0.169111074597329,0.53711452097763,0.0277561555233408,0.363866391574442
"22563",0.42,3,6,"Exp4","Exp4",0.289138633544875,0.545597505658822,0.169049634073676,0.546425301273013,0.0277561555233408,0.3515434963934
"22564",0.43,3,6,"Exp4","Exp4",0.289138633544875,0.553044702967764,0.168990992883587,0.553136901006846,0.0277561555233408,0.367055684801068
"22565",0.44,3,6,"Exp4","Exp4",0.289138633544875,0.560491900276705,0.168934963810403,0.559589222490834,0.0277561555233408,0.360933179826779
"22566",0.45,3,6,"Exp4","Exp4",0.289138633544875,0.567939097585646,0.168881375980464,0.569078379646779,0.0277561555233408,0.361958311025448
"22567",0.46,3,6,"Exp4","Exp4",0.289138633544875,0.575386294894588,0.168830073116696,0.57543100701738,0.0277561555233408,0.366458997481788
"22568",0.47,3,6,"Exp4","Exp4",0.289138633544875,0.582833492203529,0.168780912011586,0.582428839789895,0.0277561555233408,0.361054707098339
"22569",0.48,3,6,"Exp4","Exp4",0.289138633544875,0.59028068951247,0.16873376118804,0.588429514358074,0.0277561555233408,0.368530214153665
"22570",0.49,3,6,"Exp4","Exp4",0.289138633544875,0.597727886821412,0.168688499721679,0.598510520214352,0.0277561555233408,0.373721808489943
"22571",0.5,3,6,"Exp4","Exp4",0.289138633544875,0.605175084130353,0.168645016202307,0.604656075658361,0.0277561555233408,0.367636341851356
"22572",0.51,3,6,"Exp4","Exp4",0.289138633544875,0.612622281439294,0.168603207815718,0.612533759122523,0.0277561555233408,0.367922761283401
"22573",0.52,3,6,"Exp4","Exp4",0.289138633544875,0.620069478748236,0.168562979529888,0.621290249288741,0.0277561555233408,0.347227744924212
