,ks,ls,kr,ts,var_s,mu_log,sigma_log,var_n,mu_p,var_p,Exp,NSub,WMSize,Gap,var_wm,w_p
83,0.05443634548352593,0.05564846447872498,0.022622307302417637,0.0,0.15818051783815218,-0.11633051539417877,0.06233292678497734,0.005701374459600662,0.8919119888189516,0.0556495310233102,Both,4,5,0.5,0.20219303247886583,0.7841724412469218
84,0.06143357411593869,0.05792158200607447,0.019392707838123805,0.0,0.04328169462170803,0.1595803133204897,0.03906312069875277,0.023928268275525764,1.1739137794570207,0.04587423473168346,Both,5,1,0.5,0.04578863884610117,0.4995330940311965
85,0.06143357411593869,0.05792158200607447,0.019392707838123805,0.0,0.04328169462170803,0.1595803133204897,0.03906312069875277,0.023928268275525764,1.1739137794570207,0.04587423473168346,Both,5,3,0.5,0.050802527294887434,0.5254885065443621
86,0.06143357411593869,0.05792158200607447,0.019392707838123805,0.0,0.04328169462170803,0.1595803133204897,0.03906312069875277,0.023928268275525764,1.1739137794570207,0.04587423473168346,Both,5,5,0.5,0.0558164157436737,0.5488844400420053
87,0.05012575168550676,0.06175329756141821,0.04617984656752139,0.0,0.023974848866997106,-0.10729175404536943,0.0816362624901148,0.003639099889632353,0.9012617848349247,0.07369839985109856,Both,6,1,0.5,0.025455374843070807,0.25672623076212225
88,0.05012575168550676,0.06175329756141821,0.04617984656752139,0.0,0.023974848866997106,-0.10729175404536943,0.0816362624901148,0.003639099889632353,0.9012617848349247,0.07369839985109856,Both,6,3,0.5,0.028416426795218212,0.2782791464127034
89,0.05012575168550676,0.06175329756141821,0.04617984656752139,0.0,0.023974848866997106,-0.10729175404536943,0.0816362624901148,0.003639099889632353,0.9012617848349247,0.07369839985109856,Both,6,5,0.5,0.03137747874736562,0.2986173341197667
90,0.07718248448360623,0.03837304197325055,0.019463591789516756,0.0,0.05904236248227631,0.02926774656846774,0.28964614168138764,0.0009766464816321793,1.0738122749545622,0.3176644105083336,Both,7,1,0.5,0.06130799753600858,0.16177430397211176
91,0.07718248448360623,0.03837304197325055,0.019463591789516756,0.0,0.05904236248227631,0.02926774656846774,0.28964614168138764,0.0009766464816321793,1.0738122749545622,0.3176644105083336,Both,7,3,0.5,0.0658392676434731,0.17167832121133186
92,0.05443634548352593,0.05564846447872498,0.022622307302417637,0.0,0.15818051783815218,-0.11633051539417877,0.06233292678497734,0.005701374459600662,0.8919119888189516,0.0556495310233102,Both,4,3,0.5,0.18458802662258036,0.7683562405119959
93,0.08721813479835765,0.04820032573750398,0.010305137428542117,0.0,0.04667306856405392,-0.4581965787799438,0.17792749639267644,0.0041381277991954755,0.6425134800606808,0.11523160853004442,Both,16,5,0.5,0.0579213541038352,0.3345097491996486
94,0.08721813479835765,0.04820032573750398,0.010305137428542117,0.0,0.04667306856405392,-0.4581965787799438,0.17792749639267644,0.0041381277991954755,0.6425134800606808,0.11523160853004442,Both,16,1,0.5,0.04892272567201017,0.29802883920074913
95,0.05424118965039043,0.05134424359536992,0.04234840576997146,0.0,0.04665530383956608,0.033996776520878916,0.2394682764610594,0.012808865363093464,1.0646746975966341,0.25865497387884284,Both,15,5,0.5,0.058632710266339476,0.18479352712445882
96,0.050292760885735616,0.07933947828779404,0.02056114837470139,0.05080785867058695,0.11697601517049172,-0.03997250185547686,0.058153399183993856,0.014053614658358124,0.962441885891919,0.0560166200038127,Both_gap,12,3,2.5,0.15967671533450434,0.7402950818301822
97,0.050292760885735616,0.07933947828779404,0.02056114837470139,0.05080785867058695,0.11697601517049172,-0.03997250185547686,0.058153399183993856,0.014053614658358124,0.962441885891919,0.0560166200038127,Both_gap,12,3,0.5,0.14779011364124278,0.7251483353765446
98,0.050292760885735616,0.07933947828779404,0.02056114837470139,0.05080785867058695,0.11697601517049172,-0.03997250185547686,0.058153399183993856,0.014053614658358124,0.962441885891919,0.0560166200038127,Both_gap,12,1,2.5,0.14111508330288058,0.7158416476691056
99,0.050292760885735616,0.07933947828779404,0.02056114837470139,0.05080785867058695,0.11697601517049172,-0.03997250185547686,0.058153399183993856,0.014053614658358124,0.962441885891919,0.0560166200038127,Both_gap,12,1,0.5,0.129228481609619,0.6976080904924123
100,0.09369929035843218,0.07089358309805882,0.0040145851896002714,0.054754124794082516,0.03243252823918337,-0.007498016637816553,0.07253734996735094,0.006691521098727542,0.9951446424743617,0.0722802129325373,Both_gap,11,5,2.5,0.048368355664696425,0.4009028555172219
101,0.09369929035843218,0.07089358309805882,0.0040145851896002714,0.054754124794082516,0.03243252823918337,-0.007498016637816553,0.07253734996735094,0.006691521098727542,0.9951446424743617,0.0722802129325373,Both_gap,11,5,0.5,0.04481672626750473,0.38273183375820163
102,0.09369929035843218,0.07089358309805882,0.0040145851896002714,0.054754124794082516,0.03243252823918337,-0.007498016637816553,0.07253734996735094,0.006691521098727542,0.9951446424743617,0.0722802129325373,Both_gap,11,3,2.5,0.043769839393087054,0.37716346107516996
103,0.09369929035843218,0.07089358309805882,0.0040145851896002714,0.054754124794082516,0.03243252823918337,-0.007498016637816553,0.07253734996735094,0.006691521098727542,0.9951446424743617,0.0722802129325373,Both_gap,11,3,0.5,0.04021820999589535,0.3575002115494605
104,0.09369929035843218,0.07089358309805882,0.0040145851896002714,0.054754124794082516,0.03243252823918337,-0.007498016637816553,0.07253734996735094,0.006691521098727542,0.9951446424743617,0.0722802129325373,Both_gap,11,1,2.5,0.03917132312147768,0.3514650807728061
