"","NSub","Exp","model","sig_s2","ks","ls","ts","kr","sig_mn2","mu_pr_log","sig_pr2_log","looic","p_loo","elpd_loo","se_looic","se_p_loo","waic","p_waic","se_waic","se_p_waic","elpd_waic","se_waic.1","log_lik_sum","log_lik_mean"
"34",2,"Exp3","Exp3",0.0517747501288215,0,0,0.00688322561963096,0.0442613142255,0.00742251333784031,-0.133900587213659,0.0590976318017562,402.53573269381,301.830006415927,-201.267866346905,5.44664163742414,2.19583107422244,160.013677085235,180.56897861164,3.41056463481503,0.408641331581632,-80.0068385426176,3.41056463481503,44.9069494402341,0.124741526222873
"35",3,"Exp3","Exp3",0.0371995362245266,0,0,0.00473038876213608,0.013750972525168,0.0100956132419277,-0.159613536828792,0.078030929131962,427.238481010225,303.207276707535,-213.619240505113,6.27363253774999,2.30195323892002,178.734141235019,178.955106819931,4.21283921262096,0.41169341428936,-89.3670706175093,4.21283921262096,34.5252086150796,0.0967092678293547
"36",4,"Exp3","Exp3",0.036697727581062,0,0,0.00489220459135572,0.0144435586134764,0.0114157861531686,0.0092373347545771,0.0429446219255196,385.557861020766,303.66879511482,-192.778930510383,4.6688169693012,2.14638143862801,138.910141046087,180.344935127481,1.97490611029805,0.407986888038561,-69.4550705230437,1.97490611029805,55.356568634857,0.154196570013529
"37",5,"Exp3","Exp3",0.0122493915717841,0,0,0.00162929039539865,0.0237529161130264,0.00431782449770302,-0.134409374782464,0.425721091293859,289.690913604009,305.53105530576,-144.845456802004,11.1379989679675,2.36374709025953,39.4630104767082,180.41710374211,10.248910142619,0.38658020985548,-19.7315052383541,10.248910142619,105.16612487492,0.293760125348939
"38",6,"Exp3","Exp3",0.045841264292764,0,0,0.00611112892992791,0.0350351310246927,0.0243726987758291,0.0246333886873913,0.0543431549520773,544.025704114439,301.125278279675,-272.01285205722,4.34062664895693,2.11567823184946,302.495413402297,180.360132923604,1.41894670526153,0.388172638337591,-151.247706701149,1.41894670526153,-26.4361468022869,-0.0736382919283759
"39",7,"Exp3","Exp3",0.0196081854027924,0,0,0.00261750009052083,0.0448389236213536,0.00488331080466002,-0.24301381110706,0.123342259761754,341.462028171738,304.238358776589,-170.731014085869,9.11041198606758,1.96410035198715,96.1102016018858,181.562445491663,8.44620616162262,0.386237702758564,-48.0551008009429,8.44620616162262,77.5954854634231,0.215543015176175
"40",8,"Exp3","Exp3",0.0444660748890217,0,0,0.00594793786251496,0.0132354406839716,0.03523460849829,0.108618570887814,0.0338471150639627,555.247706912793,304.337988274469,-277.623853456397,5.21560837686263,2.22271563905694,308.111916527848,180.770093081996,2.92841912788924,0.38998261508488,-154.055958263924,2.92841912788924,-28.9450838048855,-0.0806269743868677
"41",9,"Exp3","Exp3",0.0392872998654153,0,0,0.00516648805950821,0.0251916340126566,0.016689448954952,-0.0478240695927435,0.0617827362683897,476.735214286469,300.076796961626,-238.367607143234,4.99571226040703,2.2724623030065,235.658853497746,179.538616567264,2.16405823450648,0.37661225214331,-117.829426748873,2.16405823450648,6.37327228668702,0.0178024365549917
"42",10,"Exp3","Exp3",0.0485887107736365,0,0,0.00618199779476763,0.0849789944427963,0.00716924338021271,-0.167757800400477,0.072589321079637,464.246641369115,310.374486250653,-232.123320684558,6.79979360037363,2.48088081547498,206.612786559362,181.557558845776,4.78379774715574,0.379205293778206,-103.306393279681,4.78379774715574,22.4608694935597,0.0623913041487769
"43",11,"Exp3","Exp3",0.0361278285854678,0,0,0.00472750018403816,0.0141074870528469,0.00471776498058804,0.0508750467810371,0.0540840752248092,373.544937859,304.880371416286,-186.7724689295,6.3685171330324,2.19040464508135,123.481704715703,179.848754844638,4.87045229686494,0.374454248825365,-61.7408523578515,4.87045229686494,62.7141869278,0.174691328489694
"44",12,"Exp3","Exp3",0.0671105957117194,0,0,0.00896634551216397,0.0298219839551284,0.00207346596097111,0.0439522905650077,0.0689878365815365,484.740123947756,301.274329170742,-242.370061973878,6.66024091958894,2.22427990233169,241.704299104972,179.75641674935,5.02056198278938,0.372470925838519,-120.852149552486,5.02056198278938,3.61637189312577,0.0101015974668317
"45",13,"Exp3","Exp3",0.051082793947636,0,0,0.00680386982615771,0.0397163152174068,0.00196576113630094,-0.522152566284902,0.130302239554754,406.742961991902,304.042215912801,-203.371480995951,9.23723869555878,2.23510323743583,160.695989352658,181.018729593179,8.18064532341048,0.439284209347615,-80.3479946763288,8.18064532341048,44.973041709079,0.124925115858553
"46",14,"Exp3","Exp3",0.0351334935028841,0,0,0.00460089292000548,0.024202946851586,0.00301509114130398,0.114879265201814,0.104072274912476,473.854795132986,300.577487967189,-236.927397566493,9.205443573727,2.19173217520149,230.451160762758,178.875670782075,8.28197771687065,0.388555946533739,-115.225580381379,8.28197771687065,8.54648734921547,0.0239397404739929
"47",15,"Exp3","Exp3",0.0256127421467156,0,0,0.00341607369203892,0.0376325018538883,0.00476115966136197,-0.360257109035209,0.0683511182270343,266.602294015505,304.28316510873,-133.301147007752,7.18641130404316,2.32669362333224,19.8426345250667,180.903335363511,5.79189286977939,0.420361573236874,-9.92131726253335,5.79189286977939,115.27026543302,0.320195181758388
"48",16,"Exp3","Exp3",0.0303657593707256,0,0,0.00408397248767537,0.0503443086231161,0.00876296048015585,-0.414508829758977,0.0804959690741607,361.94921114591,306.222713321654,-180.974605572955,6.16158775499665,2.08410414590481,112.391074049756,181.443644773577,4.49210669328003,0.381070720752848,-56.1955370248778,4.49210669328003,69.3709005452823,0.192696945959118
"49",1,"Exp4","Exp4",0.027850955531915,0.46057290766131,0.00663020726771684,0.00459812473390579,0.255354870167853,0.0135620682790185,-0.196325847872733,0.0952002785315833,445.97158583307,303.174997924314,-222.985792916535,5.6989170624877,2.059069694458,200.38491834561,180.381664180583,3.97328907650276,0.381117988950585,-100.192459172805,3.97328907650276,24.6332976694098,0.0686164280484953
